Timestamp [us],RTC Count,Notes,State To Process,Next State
1678398458976874,-1,,DEPLOY,DEPLOY
1678398459976976,-1,,DEPLOY,DEPLOY
1678398460977082,-1,,DEPLOY,DEPLOY
1678398461977156,-1,,DEPLOY,DEPLOY
1678398462977229,-1,,DEPLOY,DEPLOY
1678398463977306,-1,,DEPLOY,DEPLOY
1678398464977382,-1,,DEPLOY,DEPLOY
1678398465977484,-1,,DEPLOY,DEPLOY
1678398466977612,-1,,DEPLOY,DEPLOY
1678398467977718,-1,,DEPLOY,DEPLOY
1678398468977891,-1,,DEPLOY,DEPLOY
1678398469977962,-1,,DEPLOY,DEPLOY
1678398470978115,-1,,DEPLOY,DEPLOY
1678398471978185,-1,,DEPLOY,DEPLOY
1678398472978263,-1,,DEPLOY,DEPLOY
1678398522458278,-1,Restarted! | ,CONFIG,START
1678398523458354,-1,,START,DEPLOY
1678398524458436,-1,,DEPLOY,DEPLOY
1678398525458511,-1,,DEPLOY,DEPLOY
1678398526458579,-1,,DEPLOY,DEPLOY
1678398527458649,-1,,DEPLOY,DEPLOY
1678398528458716,-1,,DEPLOY,DEPLOY
1678398529458788,-1,,DEPLOY,DEPLOY
1678398530458855,-1,,DEPLOY,DEPLOY
1678398531458938,-1,,DEPLOY,DEPLOY
1678398532459008,-1,,DEPLOY,DEPLOY
1678398533459078,-1,,DEPLOY,DEPLOY
1678398534459145,-1,,DEPLOY,DEPLOY
1678398535459998,-1,,DEPLOY,DEPLOY
1678398536460075,-1,,DEPLOY,DEPLOY
1678398537460163,-1,,DEPLOY,DEPLOY
1678398538460236,-1,,DEPLOY,DEPLOY
1678398539460311,-1,,DEPLOY,DEPLOY
1678398540460393,-1,,DEPLOY,DEPLOY
1678398541460481,-1,,DEPLOY,DEPLOY
1678398564286185,-1,Restarted! | ,CONFIG,START
1678398565286256,-1,,START,DEPLOY
1678398566286352,-1,,DEPLOY,DEPLOY
1678398567286424,-1,,DEPLOY,DEPLOY
1678398568286508,-1,,DEPLOY,DEPLOY
1678398569286587,-1,,DEPLOY,DEPLOY
1678398570286730,-1,,DEPLOY,DEPLOY
1678398571286794,-1,,DEPLOY,DEPLOY
1678398572286866,-1,,DEPLOY,DEPLOY
1678398573286932,-1,,DEPLOY,DEPLOY
1678398574286962,-1,,DEPLOY,DEPLOY
1678398575287028,-1,,DEPLOY,DEPLOY
1678398576287093,-1,,DEPLOY,DEPLOY
1678398577287159,-1,,DEPLOY,DEPLOY
1678398578287239,-1,,DEPLOY,DEPLOY
1678398579287714,-1,,DEPLOY,DEPLOY
1678398580287785,-1,,DEPLOY,DEPLOY
1678398581287860,-1,,DEPLOY,DEPLOY
1678398582287934,-1,,DEPLOY,DEPLOY
1678398583288017,-1,,DEPLOY,DEPLOY
1678398632666243,-1,Restarted! | ,CONFIG,START
1678398633666309,-1,,START,DEPLOY
1678398634666677,-1,,DEPLOY,DEPLOY
1678398635666750,-1,,DEPLOY,DEPLOY
1678398636666816,-1,,DEPLOY,DEPLOY
1678398637667049,-1,,DEPLOY,DEPLOY
1678398638667119,-1,,DEPLOY,DEPLOY
1678398639667188,-1,,DEPLOY,DEPLOY
1678398640667256,-1,,DEPLOY,DEPLOY
1678398641667327,-1,,DEPLOY,DEPLOY
1678398642667424,-1,,DEPLOY,DEPLOY
1678398643667509,-1,,DEPLOY,DEPLOY
1678398644667578,-1,,DEPLOY,DEPLOY
